rank,ema,atr_period,sl_mult,tp_mult,hours,tr_trades,tr_wr,tr_pf,tr_dd,tr_monthly,te_trades,te_wr,te_pf,te_dd,te_monthly,score
1,15/26/80,14,2.5,4.0,6-17h,83,55.4,2.016,-3.9%,3.58,26,57.7,2.224,-3.4%,3.53,0.7596
2,15/26/80,10,2.0,4.0,6-17h,88,47.7,1.902,-6.9%,3.72,26,50.0,2.028,-3.0%,3.51,0.7468
3,9/34/100,20,2.0,4.0,7-16h,83,48.2,1.874,-5.9%,3.6,-,-,-,-,-,0.7372
4,9/34/100,20,2.0,4.0,6-17h,91,47.3,1.805,-5.9%,3.71,-,-,-,-,-,0.7357
5,9/34/100,14,2.5,4.0,6-17h,80,55.0,1.978,-4.9%,3.33,-,-,-,-,-,0.7346
6,9/42/80,14,2.5,4.0,6-17h,80,55.0,1.964,-5.0%,3.33,28,39.3,1.023,-7.6%,0.1,0.7325
7,15/26/100,14,2.5,4.0,6-17h,78,55.1,2.012,-5.7%,3.26,20,60.0,2.403,-3.0%,3.02,0.7322
8,15/26/80,10,2.5,4.0,6-17h,78,55.1,1.995,-5.3%,3.26,24,54.2,1.92,-5.3%,2.61,0.731
9,15/26/100,10,2.0,4.0,6-17h,84,47.6,1.898,-6.9%,3.48,20,50.0,1.98,-3.0%,2.66,0.7294
10,9/34/150,10,2.0,4.0,6-17h,82,47.6,1.861,-5.9%,3.37,-,-,-,-,-,0.7194
0,9/34/150,14,2.0,4.0,6-17h,82,47.6,1.848,-5.9%,3.37,-,-,-,-,-,0.7177
0,9/42/80,10,3.0,4.0,6-17h,65,61.5,2.14,-3.0%,2.67,23,30.4,0.571,-8.4%,-1.71,0.7148
0,15/26/80,14,2.5,3.5,6-17h,87,57.5,1.888,-3.9%,3.17,26,57.7,1.933,-3.6%,2.67,0.7138
0,9/34/100,14,2.5,4.0,0-23h,109,51.4,1.667,-4.9%,3.56,30,43.3,1.213,-4.0%,0.94,0.7092
0,9/34/100,10,2.0,4.0,6-17h,91,46.2,1.759,-6.8%,3.36,-,-,-,-,-,0.7028
0,9/42/80,14,2.5,4.0,7-16h,69,55.1,1.959,-5.5%,2.82,28,42.9,1.191,-5.7%,0.78,0.6947
0,9/34/100,14,2.0,4.0,6-17h,89,46.1,1.751,-6.8%,3.25,-,-,-,-,-,0.694
0,9/34/150,10,2.0,4.0,7-16h,76,47.4,1.833,-5.9%,3.03,-,-,-,-,-,0.6919
0,9/34/150,14,2.0,4.0,7-16h,76,47.4,1.821,-5.9%,3.03,-,-,-,-,-,0.6903
0,9/42/80,20,3.0,4.0,6-17h,78,59.0,1.926,-4.3%,2.77,24,41.7,0.939,-8.4%,-0.21,0.69
0,12/34/80,14,2.5,4.0,6-17h,83,53.0,1.846,-6.5%,2.98,28,46.4,1.383,-4.2%,1.48,0.6885
0,15/26/100,10,2.5,4.0,6-17h,74,54.1,1.925,-7.0%,2.83,-,-,-,-,-,0.6872
0,9/42/100,14,2.5,4.0,6-17h,72,54.2,1.903,-4.3%,2.77,24,45.8,1.342,-3.9%,1.17,0.6869
0,15/26/100,20,2.0,4.0,7-16h,76,47.4,1.841,-8.7%,3.03,-,-,-,-,-,0.6857
0,9/34/150,20,2.0,4.0,7-16h,79,46.8,1.765,-5.9%,3.03,-,-,-,-,-,0.6828
0,15/26/100,10,2.0,4.0,0-23h,109,44.0,1.608,-7.1%,3.34,34,41.2,1.381,-6.8%,2.06,0.6803
0,9/34/100,10,2.5,4.0,6-17h,77,53.2,1.852,-4.9%,2.79,-,-,-,-,-,0.68
0,9/42/80,14,2.5,3.0,6-17h,97,59.8,1.771,-3.9%,2.91,29,41.4,0.832,-8.3%,-0.71,0.68
0,9/34/80,20,2.0,4.0,6-17h,98,44.9,1.633,-5.9%,3.24,23,52.2,2.181,-3.0%,3.52,0.6798
0,9/34/100,14,2.5,3.5,6-17h,83,56.6,1.835,-5.1%,2.82,-,-,-,-,-,0.6793
0,9/42/80,14,2.5,3.5,6-17h,85,56.5,1.808,-5.0%,2.86,28,39.3,0.891,-7.9%,-0.46,0.6788
0,15/26/100,14,2.5,4.0,0-23h,100,51.0,1.67,-4.3%,3.1,31,48.4,1.486,-5.9%,2.09,0.6788
0,15/26/100,14,2.5,3.5,6-17h,81,56.8,1.848,-4.9%,2.77,20,60.0,2.098,-3.0%,2.34,0.678
0,9/34/80,20,2.0,4.0,7-16h,90,45.6,1.674,-5.9%,3.13,20,55.0,2.442,-2.0%,3.53,0.6776
0,9/42/100,14,2.5,4.0,7-16h,66,54.5,1.929,-4.3%,2.58,24,45.8,1.342,-3.9%,1.17,0.6771
0,12/42/80,14,2.5,3.5,7-16h,77,57.1,1.871,-4.9%,2.69,20,45.0,1.133,-3.0%,0.38,0.6755
0,9/42/80,10,3.0,3.5,6-17h,68,63.2,2.016,-3.0%,2.34,25,40.0,0.762,-8.5%,-0.89,0.6752
0,12/42/80,20,2.0,4.0,0-23h,129,42.6,1.494,-6.0%,3.43,43,34.9,1.057,-5.1%,0.41,0.6744
0,9/34/150,20,2.0,4.0,6-17h,85,45.9,1.7,-5.9%,3.02,-,-,-,-,-,0.6734
0,15/26/80,10,2.0,4.0,0-23h,118,43.2,1.545,-7.0%,3.33,39,38.5,1.238,-7.7%,1.49,0.6715
0,15/26/100,20,2.0,4.0,6-17h,88,45.5,1.685,-5.9%,3.02,20,45.0,1.608,-3.0%,1.82,0.6712
0,9/34/100,14,2.5,3.0,6-17h,94,59.6,1.788,-3.9%,2.75,-,-,-,-,-,0.671
0,15/26/100,14,2.5,3.5,0-23h,105,54.3,1.657,-4.5%,3.02,32,50.0,1.389,-5.9%,1.65,0.671
0,12/34/80,14,2.5,3.5,6-17h,86,55.8,1.787,-4.2%,2.75,28,46.4,1.205,-4.8%,0.79,0.6703
0,15/26/80,10,2.0,3.5,6-17h,90,48.9,1.724,-5.9%,2.92,26,50.0,1.764,-3.5%,2.58,0.6696
0,12/42/80,14,2.5,3.5,6-17h,86,55.8,1.794,-4.9%,2.75,23,34.8,0.73,-7.9%,-1.01,0.6694
0,9/42/80,10,3.0,4.0,7-16h,56,60.7,2.075,-3.0%,2.14,23,34.8,0.701,-6.5%,-1.14,0.669
0,12/26/150,14,2.0,4.0,7-16h,75,46.7,1.756,-5.0%,2.81,-,-,-,-,-,0.6684
0,9/34/100,20,2.0,3.5,7-16h,85,49.4,1.726,-5.9%,2.87,-,-,-,-,-,0.6664
0,15/26/80,10,2.5,3.5,6-17h,80,56.2,1.817,-3.9%,2.62,24,54.2,1.669,-5.5%,1.89,0.6658
0,15/26/80,20,2.0,4.0,6-17h,94,44.7,1.636,-5.9%,3.01,26,46.2,1.707,-3.0%,2.64,0.664
0,15/26/100,10,2.5,4.0,0-23h,96,51.0,1.679,-7.4%,2.97,30,43.3,1.21,-6.1%,0.94,0.6632
0,5/42/150,10,2.5,4.0,7-16h,67,53.7,1.872,-3.9%,2.47,23,52.2,1.724,-2.0%,2.16,0.6626
0,15/42/100,10,3.0,3.5,0-23h,74,62.2,1.912,-3.9%,2.38,37,45.9,0.98,-5.6%,-0.1,0.6617
0,15/42/100,10,3.0,4.0,7-16h,49,61.2,2.113,-2.0%,1.91,20,45.0,1.077,-4.9%,0.23,0.6605
0,5/42/150,10,2.5,4.0,6-17h,74,52.7,1.823,-4.9%,2.55,25,48.0,1.456,-3.0%,1.6,0.6593
0,9/34/100,20,2.0,3.5,6-17h,93,48.4,1.655,-5.9%,2.89,-,-,-,-,-,0.6583
0,9/34/100,14,2.0,4.0,7-16h,81,45.7,1.71,-6.8%,2.8,-,-,-,-,-,0.6569
0,15/26/100,10,2.0,4.0,7-16h,73,46.6,1.814,-9.6%,2.7,-,-,-,-,-,0.6568
0,12/42/80,14,2.0,3.5,0-23h,131,45.8,1.513,-8.2%,3.22,43,37.2,1.024,-6.6%,0.16,0.6566
0,5/50/100,10,3.0,4.0,6-17h,70,58.6,1.909,-5.9%,2.38,22,54.5,1.589,-2.0%,1.56,0.6564
0,9/34/150,14,2.5,4.0,6-17h,72,52.8,1.807,-3.9%,2.49,-,-,-,-,-,0.6554
0,15/50/80,14,3.0,4.0,7-16h,49,61.2,2.091,-3.0%,1.91,20,45.0,1.078,-3.0%,0.23,0.6551
0,15/26/100,14,2.0,4.0,6-17h,87,44.8,1.678,-7.0%,2.8,20,45.0,1.608,-3.0%,1.82,0.6521
0,9/42/80,10,2.5,4.0,6-17h,74,52.7,1.798,-6.5%,2.55,26,30.8,0.697,-7.6%,-1.36,0.652
0,15/26/100,10,2.0,3.5,6-17h,84,48.8,1.716,-5.9%,2.68,20,50.0,1.733,-3.2%,1.97,0.6518
0,9/34/100,20,2.0,4.0,0-23h,122,42.6,1.458,-7.0%,3.21,33,42.4,1.457,-3.0%,2.34,0.6517
0,9/42/100,20,2.5,4.0,7-16h,70,52.9,1.816,-3.9%,2.42,24,45.8,1.342,-3.9%,1.17,0.6517
0,9/34/80,10,2.0,4.0,6-17h,95,44.2,1.619,-7.1%,2.9,22,50.0,2.0,-3.0%,2.94,0.6512
0,9/50/80,14,2.5,4.0,6-17h,88,51.1,1.682,-5.4%,2.71,27,40.7,1.089,-5.1%,0.36,0.6505
0,9/34/150,14,2.5,4.0,7-16h,70,52.9,1.804,-3.9%,2.42,-,-,-,-,-,0.6501
0,5/50/100,10,2.0,4.0,0-23h,122,42.6,1.513,-10.7%,3.21,33,45.5,1.647,-3.9%,3.2,0.6496
0,9/34/100,14,2.5,4.0,7-16h,72,52.8,1.788,-5.3%,2.49,-,-,-,-,-,0.6494
0,5/50/150,14,2.5,4.0,7-16h,70,52.9,1.795,-3.9%,2.42,22,50.0,1.579,-2.4%,1.72,0.6489
0,12/50/100,10,3.0,4.0,7-16h,55,60.0,1.996,-3.0%,2.0,20,55.0,1.607,-3.0%,1.47,0.6487
0,12/50/100,14,3.0,4.0,7-16h,55,60.0,1.996,-3.0%,2.0,20,55.0,1.616,-3.0%,1.47,0.6487
0,15/26/80,20,3.0,4.0,6-17h,83,56.6,1.742,-3.9%,2.48,22,54.5,1.607,-4.9%,1.56,0.646
0,5/50/150,10,2.5,4.0,7-16h,68,52.9,1.803,-3.9%,2.36,21,52.4,1.737,-2.4%,2.0,0.6457
0,15/34/80,14,2.0,3.5,7-16h,82,48.8,1.673,-3.9%,2.6,21,52.4,1.913,-2.3%,2.45,0.6452
0,9/34/100,10,2.0,4.0,7-16h,82,45.1,1.674,-6.8%,2.69,-,-,-,-,-,0.6444
0,15/26/80,10,3.0,4.0,6-17h,75,57.3,1.8,-3.9%,2.34,23,56.5,1.75,-4.9%,1.93,0.6439
0,15/26/80,20,2.0,4.0,7-16h,79,45.6,1.7,-8.7%,2.7,22,50.0,1.996,-3.0%,2.94,0.6438
0,5/42/150,14,2.5,4.0,6-17h,75,52.0,1.763,-4.9%,2.44,25,48.0,1.456,-3.0%,1.6,0.6436
0,9/34/100,10,2.5,4.0,0-23h,105,49.5,1.561,-5.1%,2.83,29,37.9,0.965,-4.0%,-0.16,0.6434
0,9/42/80,20,2.5,4.0,6-17h,77,51.9,1.76,-6.7%,2.5,27,40.7,1.09,-7.6%,0.36,0.6428
0,5/42/80,14,2.5,4.0,6-17h,77,51.9,1.766,-7.1%,2.5,29,44.8,1.289,-3.0%,1.21,0.6426
0,9/42/80,20,3.0,4.0,7-16h,67,58.2,1.863,-4.3%,2.2,24,45.8,1.119,-6.5%,0.39,0.6417
0,9/50/80,14,2.5,3.5,6-17h,92,54.3,1.67,-5.5%,2.61,27,40.7,0.95,-6.2%,-0.2,0.6416
0,9/34/200,10,2.0,4.0,6-17h,77,45.5,1.686,-5.9%,2.59,-,-,-,-,-,0.6415
0,12/34/80,20,3.0,4.0,6-17h,81,56.8,1.777,-6.8%,2.44,23,47.8,1.216,-6.5%,0.66,0.6408
0,9/34/200,14,2.0,4.0,6-17h,77,45.5,1.677,-5.9%,2.59,-,-,-,-,-,0.6403
0,9/42/100,14,2.5,3.0,6-17h,88,59.1,1.721,-4.5%,2.45,25,48.0,1.097,-3.9%,0.33,0.6396
0,9/34/100,14,2.5,3.5,0-23h,114,52.6,1.537,-4.9%,2.81,30,43.3,1.059,-5.0%,0.26,0.6394
0,12/42/80,20,2.0,4.0,7-16h,85,44.7,1.618,-5.9%,2.69,23,34.8,1.05,-5.9%,0.2,0.6394
0,5/50/100,14,2.5,4.0,6-17h,89,50.6,1.646,-4.9%,2.6,25,48.0,1.459,-2.4%,1.6,0.6392
0,15/26/80,20,2.5,4.0,6-17h,82,51.2,1.706,-5.9%,2.52,25,56.0,2.063,-3.4%,3.07,0.6392
0,5/42/80,10,3.0,4.0,7-16h,63,58.7,1.905,-5.9%,2.14,27,51.9,1.424,-2.0%,1.46,0.6391
0,9/34/100,14,2.0,3.5,6-17h,92,47.8,1.628,-6.8%,2.7,-,-,-,-,-,0.6391
0,9/42/80,20,2.5,4.0,7-16h,73,52.1,1.754,-4.6%,2.38,27,44.4,1.275,-5.7%,1.05,0.639
0,15/26/100,20,2.0,3.0,7-16h,83,53.0,1.725,-6.4%,2.5,-,-,-,-,-,0.639
0,9/34/80,14,2.0,4.0,6-17h,96,43.8,1.581,-7.1%,2.79,23,56.5,2.635,-2.0%,4.41,0.6384
0,12/34/100,14,2.5,4.0,6-17h,75,52.0,1.766,-7.2%,2.44,23,52.2,1.732,-3.0%,2.16,0.6383
0,15/26/80,14,2.5,4.0,7-16h,64,53.1,1.835,-5.3%,2.24,22,54.5,1.935,-3.4%,2.44,0.6382
0,9/42/200,20,2.5,4.0,7-16h,64,53.1,1.807,-3.9%,2.24,-,-,-,-,-,0.6379
0,9/42/80,14,2.5,3.5,7-16h,73,56.2,1.777,-5.3%,2.34,28,42.9,1.039,-6.1%,0.16,0.6374
0,9/34/200,10,2.0,4.0,7-16h,72,45.8,1.707,-5.9%,2.49,-,-,-,-,-,0.6373
0,9/34/100,14,2.0,3.0,6-17h,99,51.5,1.622,-5.9%,2.65,-,-,-,-,-,0.637
0,5/42/100,10,3.0,3.5,6-17h,70,61.4,1.874,-4.6%,2.12,25,44.0,0.906,-3.8%,-0.34,0.6367
0,5/42/80,10,2.5,4.0,6-17h,82,51.2,1.724,-7.9%,2.52,29,44.8,1.289,-3.0%,1.21,0.6365
0,12/42/80,14,2.0,3.5,7-16h,87,48.3,1.651,-7.7%,2.65,23,39.1,1.11,-3.9%,0.4,0.6363
0,9/34/200,14,2.0,4.0,7-16h,72,45.8,1.697,-5.9%,2.49,-,-,-,-,-,0.6359
0,9/34/150,14,2.0,3.5,6-17h,85,48.2,1.654,-5.9%,2.57,-,-,-,-,-,0.6358
0,5/42/80,10,3.0,3.5,6-17h,72,61.1,1.856,-4.6%,2.14,28,50.0,1.157,-3.5%,0.57,0.6357
0,9/34/150,20,2.0,3.5,7-16h,80,48.8,1.679,-5.9%,2.52,-,-,-,-,-,0.6356
0,15/42/80,10,3.0,4.0,7-16h,52,59.6,1.981,-3.0%,1.84,22,50.0,1.313,-4.9%,0.93,0.6355
0,5/50/100,20,2.5,4.0,6-17h,89,50.6,1.654,-7.0%,2.6,25,48.0,1.463,-3.0%,1.6,0.6349
0,12/26/150,10,2.0,4.0,7-16h,75,45.3,1.677,-5.0%,2.48,-,-,-,-,-,0.6347
0,12/50/100,10,2.5,4.0,7-16h,62,53.2,1.836,-5.5%,2.18,22,50.0,1.581,-3.0%,1.72,0.6335
0,15/42/80,14,2.0,3.5,0-23h,125,45.6,1.503,-10.1%,2.97,47,38.3,1.075,-7.0%,0.55,0.6332
0,15/26/100,14,2.5,4.0,7-16h,62,53.2,1.857,-7.2%,2.18,-,-,-,-,-,0.6322
0,15/42/100,14,2.0,3.5,0-23h,115,46.1,1.525,-8.8%,2.87,43,41.9,1.255,-6.4%,1.63,0.6322
0,5/50/150,10,2.0,4.0,7-16h,80,45.0,1.649,-7.7%,2.59,26,46.2,1.685,-2.0%,2.64,0.6318
0,9/34/80,10,2.5,4.0,6-17h,80,51.2,1.706,-7.5%,2.46,21,52.4,1.755,-3.0%,2.0,0.6308
0,15/42/100,14,3.0,3.5,0-23h,74,60.8,1.796,-3.9%,2.16,37,45.9,0.98,-5.6%,-0.1,0.6308
0,15/26/100,14,2.0,4.0,7-16h,75,45.3,1.714,-8.7%,2.48,-,-,-,-,-,0.6303
0,15/26/100,20,3.0,4.0,6-17h,78,56.4,1.74,-4.3%,2.27,-,-,-,-,-,0.6302
